price,bedrooms,bathrooms,floors,waterfront,view,review_score,built,zipcode,latitude,longitude,living_room_size,lot_size
221900.0,3.0,1.0,1.0,0.0,0.0,10.0,1955.0,98178.0,47.5112,-122.257,1340.0,5650.0
538000.0,3.0,2.25,2.0,0.0,0.0,7.0,1951.0,98125.0,47.721,-122.319,1690.0,7639.0
180000.0,2.0,1.0,1.0,0.0,0.0,8.0,1933.0,98028.0,47.7379,-122.233,2720.0,8062.0
604000.0,4.0,3.0,1.0,0.0,0.0,6.0,1965.0,98136.0,47.5208,-122.393,1360.0,5000.0
510000.0,3.0,2.0,1.0,0.0,0.0,6.0,1987.0,98074.0,47.6168,-122.045,1800.0,7503.0
1225000.0,4.0,4.5,1.0,0.0,0.0,8.0,2001.0,98053.0,47.6561,-122.005,4760.0,101930.0
257500.0,3.0,2.25,2.0,0.0,0.0,7.0,1995.0,98003.0,47.3097,-122.327,2238.0,6819.0
291850.0,3.0,1.5,1.0,0.0,0.0,7.0,1963.0,98198.0,47.4095,-122.315,1650.0,9711.0
229500.0,3.0,1.0,1.0,0.0,0.0,7.0,1960.0,98146.0,47.5123,-122.337,1780.0,8113.0
323000.0,3.0,2.5,2.0,0.0,0.0,7.0,2003.0,98038.0,47.3684,-122.031,2390.0,7570.0
662500.0,3.0,2.5,1.0,0.0,0.0,7.0,1965.0,98007.0,47.6007,-122.145,2210.0,8925.0
468000.0,2.0,1.0,1.0,0.0,0.0,6.0,1942.0,98115.0,47.69,-122.292,1330.0,6000.0
400000.0,3.0,1.75,1.0,0.0,0.0,7.0,1977.0,98074.0,47.6127,-122.045,1370.0,10208.0
530000.0,5.0,2.0,1.5,0.0,0.0,9.0,1900.0,98107.0,47.67,-122.394,1360.0,4850.0
650000.0,4.0,3.0,2.0,0.0,3.0,7.0,1979.0,98126.0,47.5714,-122.375,2140.0,4000.0
395000.0,3.0,2.0,2.0,0.0,0.0,7.0,1994.0,98019.0,47.7277,-121.962,1890.0,14018.0
485000.0,4.0,1.0,1.5,0.0,0.0,9.0,1916.0,98103.0,47.6648,-122.343,1610.0,4300.0
189000.0,2.0,1.0,1.0,0.0,0.0,8.0,1921.0,98002.0,47.3089,-122.21,1060.0,5095.0
230000.0,3.0,1.0,1.0,0.0,0.0,8.0,1969.0,98003.0,47.3343,-122.306,1280.0,8850.0
385000.0,4.0,1.75,1.0,0.0,0.0,9.0,1947.0,98133.0,47.7025,-122.341,1400.0,4980.0
285000.0,5.0,2.5,2.0,0.0,0.0,7.0,1995.0,98092.0,47.3266,-122.169,2240.0,7005.0
252700.0,2.0,1.5,1.0,0.0,0.0,7.0,1985.0,98030.0,47.3533,-122.166,1220.0,8386.0
329000.0,3.0,2.25,2.0,0.0,0.0,7.0,1985.0,98030.0,47.3739,-122.172,2200.0,6865.0
233000.0,3.0,2.0,1.5,0.0,0.0,7.0,1941.0,98002.0,47.3048,-122.218,1030.0,4705.0
937000.0,3.0,1.75,2.0,0.0,0.0,7.0,1915.0,98119.0,47.6386,-122.36,1760.0,3573.0
667000.0,3.0,1.0,1.5,0.0,0.0,6.0,1909.0,98112.0,47.6221,-122.314,1860.0,3861.0
438000.0,3.0,1.75,1.0,0.0,0.0,6.0,1948.0,98115.0,47.695,-122.304,1520.0,6235.0
719000.0,4.0,2.5,2.0,0.0,0.0,8.0,2005.0,98052.0,47.7073,-122.11,2630.0,6026.0
580500.0,3.0,2.5,2.0,0.0,0.0,7.0,2003.0,98027.0,47.5391,-122.07,2580.0,3980.0
280000.0,2.0,1.5,3.0,0.0,0.0,7.0,2005.0,98133.0,47.7274,-122.357,1390.0,1756.0
687500.0,4.0,1.75,1.5,0.0,0.0,8.0,1929.0,98117.0,47.6823,-122.368,1460.0,5000.0
322500.0,4.0,2.75,1.0,0.0,0.0,7.0,1981.0,98058.0,47.4276,-122.157,2020.0,8720.0
696000.0,3.0,2.5,1.5,0.0,0.0,6.0,1930.0,98115.0,47.6827,-122.31,1590.0,3264.0
550000.0,4.0,1.0,1.0,0.0,0.0,8.0,1933.0,98052.0,47.6621,-122.132,2160.0,11467.0
640000.0,4.0,2.0,2.0,0.0,0.0,7.0,1904.0,98107.0,47.6702,-122.362,1730.0,4700.0
240000.0,4.0,1.0,1.0,0.0,0.0,10.0,1969.0,98001.0,47.3341,-122.282,1290.0,7800.0
605000.0,4.0,2.5,2.0,0.0,0.0,7.0,1996.0,98056.0,47.5301,-122.18,2620.0,11884.0
775000.0,4.0,2.25,1.0,0.0,0.0,8.0,1984.0,98166.0,47.445,-122.347,2410.0,30617.0
685000.0,3.0,1.0,2.0,0.0,0.0,7.0,1922.0,98119.0,47.6413,-122.364,1580.0,2640.0
309000.0,3.0,1.0,1.0,0.0,0.0,9.0,1959.0,98058.0,47.4485,-122.175,1340.0,8808.0
488000.0,3.0,2.5,2.0,0.0,0.0,7.0,2003.0,98019.0,47.7443,-121.977,3050.0,9232.0
210490.0,3.0,1.0,1.0,0.0,0.0,7.0,1966.0,98023.0,47.3066,-122.371,1228.0,8840.0
450000.0,3.0,1.75,1.0,0.0,0.0,7.0,1953.0,98115.0,47.6796,-122.301,970.0,5100.0
1350000.0,3.0,2.5,1.0,1.0,2.0,8.0,1953.0,98070.0,47.4041,-122.451,2680.0,72513.0
228000.0,3.0,1.0,1.0,0.0,0.0,7.0,1955.0,98148.0,47.4258,-122.322,1190.0,9364.0
345000.0,5.0,2.5,1.0,0.0,0.0,8.0,1966.0,98056.0,47.4934,-122.189,1990.0,9133.0
600000.0,3.0,1.75,1.0,0.0,0.0,7.0,1950.0,98117.0,47.6808,-122.384,1410.0,4080.0
585000.0,2.0,1.75,1.0,0.0,0.0,7.0,1981.0,98117.0,47.6989,-122.369,1480.0,6738.0
920000.0,5.0,2.25,1.5,0.0,0.0,8.0,1927.0,98105.0,47.6571,-122.281,2730.0,6000.0
885000.0,4.0,2.5,2.0,0.0,0.0,10.0,1995.0,98105.0,47.6597,-122.29,1950.0,5000.0
292500.0,4.0,2.5,2.0,0.0,0.0,7.0,2008.0,98042.0,47.3663,-122.114,2250.0,4500.0
301000.0,3.0,2.5,2.0,0.0,0.0,10.0,2003.0,98042.0,47.3663,-122.122,2690.0,4750.0
951000.0,5.0,3.25,2.0,0.0,4.0,8.0,1968.0,98008.0,47.588,-122.116,2960.0,11044.0
430000.0,4.0,3.0,2.0,0.0,0.0,9.0,1991.0,98059.0,47.5059,-122.149,2270.0,8542.0
650000.0,3.0,2.25,1.0,0.0,3.0,7.0,1959.0,98166.0,47.4336,-122.339,2570.0,18900.0
289000.0,3.0,1.75,1.0,0.0,0.0,7.0,1954.0,98148.0,47.4366,-122.335,1290.0,8750.0
425000.0,3.0,2.25,1.0,0.0,0.0,8.0,1979.0,98122.0,47.6113,-122.297,1440.0,4080.0
975000.0,4.0,2.5,2.0,0.0,0.0,8.0,1989.0,98004.0,47.5815,-122.192,2750.0,11049.0
287000.0,4.0,2.5,2.0,0.0,0.0,5.0,2005.0,98001.0,47.3378,-122.257,2221.0,4557.0
204000.0,3.0,1.0,1.0,0.0,0.0,7.0,1968.0,98042.0,47.3621,-122.11,1010.0,12635.0
1040000.0,5.0,3.25,1.0,0.0,0.0,7.0,1973.0,98005.0,47.6525,-122.16,3530.0,38917.0
325000.0,3.0,2.0,1.0,0.0,0.0,7.0,1972.0,98034.0,47.7362,-122.179,1640.0,4745.0
571000.0,4.0,2.0,1.5,0.0,0.0,7.0,1916.0,98125.0,47.7168,-122.287,1510.0,7807.0
360000.0,4.0,2.5,2.0,0.0,0.0,6.0,2005.0,98038.0,47.3608,-122.036,2420.0,5000.0
349000.0,3.0,1.75,1.0,0.0,0.0,7.0,1965.0,98042.0,47.3511,-122.073,1940.0,50529.0
832500.0,4.0,4.0,2.0,0.0,0.0,7.0,1986.0,98075.0,47.5822,-121.987,3240.0,35020.0
380000.0,4.0,1.75,1.0,0.0,0.0,6.0,1956.0,98008.0,47.6034,-122.125,1680.0,7500.0
